吉林通榆,123.13,44.82  
吉林洮安,122.75,45.35   
四川成都,104.06,30.67  
四川金堂,104.32,30.88  
四川双流,104.94,30.57  
四川蒲江,103.29,30.2  
四川郫县,103.86,30.8  
四川新都,104.13,30.82  
四川来易,102.15,26.9  
四川盐边,101.56,26.9  
四川温江,103.81,30.97  
四川灌县,103.61,31.04  
四川彭县,103.94,30.99  
四川什邡,104.16,31.13  
四川广汉,104.25,30.99  
四川新津,103.78,30.42  
四川邛崃,103.47,30.42  
四川大邑,103.53,30.58  
四川崇庆,103.69,30.63  
四川绵阳,104.73,31.48  
四川江油,104.7,31.8  
四川青川,105.21,32.59  
四川平武,104.52,32.42  
四川光元,105.86,32.44  
四川旺苍,106.33,32.25  
四川剑阁,105.45,32.03  
四川梓潼,105.16,31.64  
四川三台,105.06,31.1  
四川盐亭,105.35,31.23  
四川射洪,105.31,30.9  
四川遂宁,105.58,30.52  
四川蓬溪,105.74,30.78  
四川中江,104.68,31.06  
四川德阳,104.37,31.13  
四川绵竹,104.19,31.32  
四川安县,104.41,31.64  
四川北川,104.44,31.89  
四川内江,105.04,29.59  
四川乐至,105.02,30.3  
四川安岳,105.3,30.12  
四川威远,104.7,29.57  
四川资中,104.85,29.81  
四川资阳,104.6,30.19  
四川简阳,104.53,30.38  
四川隆昌,105.25,29.64  
四川宜宾,104.56,29.77  
四川富顺,104.97,29.24  
四川南溪,104.96,28.87  
四川江安,105.06,28.71  
四川纳溪,105.38,28.77  
四川泸县,105.46,28.96  
四川合江,105.78,28.79  
四川泸州,105.39,28.91  
四川古蔺,105.79,28.03  
四川叙水,105.44,28.19  
四川长宁,104.91,28.6  
四川兴文,105.06,28.36  
四川琪县,104.81,28.38  
四川高县,104.52,28.4  
四川筠连,104.53,28.16  
四川屏由,104.15,28.68  
四川乐由,103.73,29.59  
四川夹江,103.59,29.75  
四川洪雅,103.38,29.95  
四川丹棱,103.53,30.04  
四川青神,103.81,29.86  
四川眉由,103.81,30.05  
四川彭由,103.83,30.22  
四川井研,104.06,29.67  
四川仁寿,104.09,30  
四川犍为,103.93,29.21  
四川沐川,103.98,28.96  
四川娥眉,103.5,29.62  
四川马边,103.53,28.87  
四川峨边,103.25,29.23  
四川金口,103.13,29.24  
四川涪陵,107.36,29.7  
四川垫江,107.34,30.36  
四川丰都,107.7,29.89  
四川石柱,108.13,29.98  
四川秀山,108.97,28.47  
四川西阳,108.75,28.85  
四川黔江,108.81,29.53  
四川彭水,108.19,29.29  
四川武隆,108.72,29.29  
四川南川,107.13,29.15  
四川万县,108.35,30.83  
四川开县,108.39,31.23  
四川城口,108.67,31.98  
四川巫溪,109.6,31.42  
四川巫山,109.86,31.1  
四川奉节,109.52,31.06  
四川云阳,108.89,30.99  
四川忠县,108.03,30.33  
四川梁平,107.78,30.66  
四川南允,106.06,30.8  
四川苍溪,105.96,31.75  
四川阆中,105.97,31.75  
四川仪陇,106.38,31.52  
四川南部,106.03,31.34  
